;ID;date;parcelle;bloc;plante;nb_feuille;se_F;d_OSRollet;se_OSR;h_tige;se_T;modality;dry_weight;nb_larva_FB;count
1;17 _ 1 _ OSR;22.02.2023;2022- P2;1;na;8.4;0.244948974;25.06;2.016829195;8.6;0.484767986;OSR;100.6;3;5
2;17 _ 1 _ OSR + WFB;22.02.2023;2022- P2;1;na;6.6;0.92736185;16.94;2.83806272;13.4;0.731436942;OSR + WFB;59.9;4;5
3;17 _ 1 _ OSR + SFB;22.02.2023;2022- P2;1;na;8.2;0.663324958;21.08;1.869063937;14.7;0.943398113;OSR + SFB;88.6;6;5
4;17 _ 1 _ OSR + ART;22.02.2023;2022- P2;1;na;7;0.707106781;18.56;3.739465202;13.24;1.141315031;OSR + ART;86.3;8;5
5;17 _ 2 _ OSR;22.02.2023;2022- P2;2;na;7.6;0.6;16.74;1.675887824;13.1;0.827647268;OSR;57.5;5;5
6;17 _ 2 _ OSR + WFB;22.02.2023;2022- P2;2;na;6.6;1.166190379;19.86;2.87116701;17.1;1.17686023;OSR + WFB;75.8;9;5
7;17 _ 2 _ OSR + SFB;22.02.2023;2022- P2;2;na;6.2;1.240967365;17.58;3.889138722;10.3;1.044030651;OSR + SFB;61.7;8;5
8;17 _ 2 _ OSR + ART;22.02.2023;2022- P2;2;na;7.8;0.583095189;26.2;2.140560674;11.1;0.96695398;OSR + ART;115.2;3;5
9;17 _ 3 _ OSR;22.02.2023;2022- P2;3;na;10.6;0.6;28.3;3.16449048;11;0.418330013;OSR;147.5;18;5
10;17 _ 3 _ OSR + WFB;22.02.2023;2022- P2;3;na;7.8;0.583095189;16.56;2.026968179;12.5;0.570087713;OSR + WFB;41.7;14;5
11;17 _ 3 _ OSR + SFB;22.02.2023;2022- P2;3;na;5.8;0.860232527;15.34;1.636642905;14;0.651920241;OSR + SFB;48.5;2;5
12;17 _ 3 _ OSR + ART;22.02.2023;2022- P2;3;na;9.2;1.2;25.88;4.153841595;11.4;1.166190379;OSR + ART;154.6;8;5
13;53 _ 1 _ OSR;22.02.2023;2022- P1;1;na;8.2;0.969535971;12.36;1.235556555;5.1;0.367423461;OSR;25.5;11;5
14;53 _ 1 _ OSR + WFB;22.02.2023;2022- P1;1;na;7.2;0.8;15.38;1.562177967;6.6;0.4;OSR + WFB;29.8;17;5
15;53 _ 1 _ OSR + ART;22.02.2023;2022- P1;1;na;7.8;1.067707825;13.26;2.578100076;7.6;0.367423461;OSR + ART;50.9;11;5
16;53 _ 2 _ OSR;22.02.2023;2022- P1;2;na;10;0.707106781;15.16;1.689556155;5;0.353553391;OSR;41.8;19;5
17;53 _ 2 _ OSR + WFB;22.02.2023;2022- P1;2;na;6.8;0.734846923;8.64;1.029368739;4.6;0.367423461;OSR + WFB;15.8;10;5
18;53 _ 2 _ OSR + ART;22.02.2023;2022- P1;2;na;9.4;0.748331477;15.04;0.698999285;6.4;0.484767986;OSR + ART;39.1;8;5
19;53 _ 3 _ OSR;22.02.2023;2022- P1;3;na;9.4;0.748331477;13.74;2.305992194;6.8;0.982344135;OSR;33.9;6;5
20;53 _ 3 _ OSR + WFB;22.02.2023;2022- P1;3;na;8.2;1.15758369;14.2;2.832843095;8.82;1.123565752;OSR + WFB;56.1;15;5
21;53 _ 3 _ OSR + ART;22.02.2023;2022- P1;3;na;9;0.316227766;10.5;0.513809303;4.8;0.122474487;OSR + ART;32.6;26;5
;;2024-01-26;2023- P3;1;6;8;0;16.21;0;8.5;0;OSR + ART;13.2;2;1
;;2024-01-26;2023- P3;1;7;6;0;14.68;0;11.5;0;OSR + ART;15.8;4;1
;;2024-01-26;2023- P3;1;8;7;0;15.13;0;10.7;0;OSR + ART;3.8;4;1
;;2024-01-26;2023- P3;1;9;8;0;13.14;0;9.5;0;OSR + ART;8.6;1;1
;;2024-01-26;2023- P3;1;10;4;0;5.01;0;9.7;0;OSR + ART;2.1;1;1
;;2024-01-26;2023- P3;1;6;5;0;9.12;0;11.5;0;OSR + SFB;1.9;4;1
;;2024-01-26;2023- P3;1;7;8;0;16.38;0;18.5;0;OSR + SFB;15.5;1;1
;;2024-01-26;2023- P3;1;8;9;0;21.37;0;14.5;0;OSR + SFB;36.9;4;1
;;2024-01-26;2023- P3;1;9;7;0;16.32;0;17;0;OSR + SFB;14.4;0;1
;;2024-01-26;2023- P3;1;10;8;0;16.64;0;14.3;0;OSR + SFB;18.1;0;1
;;2024-01-26;2023- P3;1;6;9;0;17.29;0;17.5;0;OSR;17.9;0;1
;;2024-01-26;2023- P3;1;7;8;0;16.24;0;16.5;0;OSR;10.3;0;1
;;2024-01-26;2023- P3;1;8;8;0;18.05;0;22.5;0;OSR;25.1;0;1
;;2024-01-26;2023- P3;1;9;9;0;24.11;0;22.5;0;OSR;34.3;0;1
;;2024-01-26;2023- P3;1;10;6;0;13.62;0;16.5;0;OSR;6.8;0;1
;;2024-01-26;2023- P3;1;6;10;0;19.19;0;12;0;OSR + WFB;22.7;0;1
;;2024-01-26;2023- P3;1;7;8;0;20.08;0;18;0;OSR + WFB;24.2;1;1
;;2024-01-26;2023- P3;1;8;4;0;11.05;0;12;0;OSR + WFB;1.7;3;1
;;2024-01-26;2023- P3;1;9;6;0;14.75;0;15.5;0;OSR + WFB;8.7;1;1
;;2024-01-26;2023- P3;1;10;9;0;22.4;0;15;0;OSR + WFB;16.9;0;1
;;2024-01-26;2023- P3;2;6;5;0;10.86;0;12.5;0;OSR;3;0;1
;;2024-01-26;2023- P3;2;7;8;0;17.1;0;14.5;0;OSR;15.4;0;1
;;2024-01-26;2023- P3;2;8;6;0;8.45;0;13.5;0;OSR;3.5;0;1
;;2024-01-26;2023- P3;2;9;3;0;2;0;3;0;OSR;0.3;0;1
;;2024-01-26;2023- P3;2;10;4;0;7.78;0;12;0;OSR;2.1;2;1
;;2024-01-26;2023- P3;2;6;7;0;13.66;0;9.5;0;OSR + ART;6;2;1
;;2024-01-26;2023- P3;2;7;9;0;21.03;0;15.5;0;OSR + ART;27.8;0;1
;;2024-01-26;2023- P3;2;8;9;0;19.39;0;12;0;OSR + ART;12.6;6;1
;;2024-01-26;2023- P3;2;9;7;0;14.21;0;12.5;0;OSR + ART;11.2;2;1
;;2024-01-26;2023- P3;2;10;9;0;21.21;0;14.5;0;OSR + ART;20.4;11;1
;;2024-01-26;2023- P3;2;6;5;0;10.01;0;14;0;OSR + SFB;1.9;0;1
;;2024-01-26;2023- P3;2;7;5;0;9.92;0;17.5;0;OSR + SFB;1.9;0;1
;;2024-01-26;2023- P3;2;8;7;0;14.4;0;25.5;0;OSR + SFB;12.6;0;1
;;2024-01-26;2023- P3;2;9;5;0;10.95;0;15;0;OSR + SFB;2.5;1;1
;;2024-01-26;2023- P3;2;10;9;0;18.46;0;29;0;OSR + SFB;30.2;0;1
;;2024-01-26;2023- P3;2;6;9;0;19.41;0;16.5;0;OSR + WFB;29.4;0;1
;;2024-01-26;2023- P3;2;7;11;0;26.28;0;16.5;0;OSR + WFB;43.3;0;1
;;2024-01-26;2023- P3;2;8;4;0;11.88;0;9.5;0;OSR + WFB;2.1;1;1
;;2024-01-26;2023- P3;2;9;4;0;6.82;0;7.5;0;OSR + WFB;0.5;0;1
;;2024-01-26;2023- P3;2;10;3;0;4.2;0;10.5;0;OSR + WFB;0.9;2;1
;;2024-01-26;2023- P3;3;6;5;0;14.57;0;13.5;0;OSR;5.1;0;1
;;2024-01-26;2023- P3;3;7;5;0;12.82;0;13.5;0;OSR;9.6;3;1
;;2024-01-26;2023- P3;3;8;3;0;5.8;0;12;0;OSR;1.3;2;1
;;2024-01-26;2023- P3;3;9;10;0;19.48;0;15;0;OSR;28;1;1
;;2024-01-26;2023- P3;3;10;10;0;19.37;0;14.5;0;OSR;26.1;4;1
;;2024-01-26;2023- P3;3;6;1;0;4.12;0;7;0;OSR + WFB;0.4;1;1
;;2024-01-26;2023- P3;3;7;6;0;21.43;0;19;0;OSR + WFB;39.9;0;1
;;2024-01-26;2023- P3;3;8;9;0;20.3;0;12.5;0;OSR + WFB;31.9;1;1
;;2024-01-26;2023- P3;3;9;8;0;19.75;0;13.5;0;OSR + WFB;14.4;7;1
