Date;Plot;Modality;Bloc;vegetationType;canopycover_raw;Frame %;canopy Frame;canopycover;AV_bites
15.09.2022;17;OSR;1;other;4.2;9%;0.3906;4.5906;26.2
15.09.2022;17;OSR;2;other;3.8;9%;0.3534;4.1534;23.7
15.09.2022;17;OSR;3;other;1.5;9%;0.1395;1.6395;28.96666667
15.09.2022;17;OSR +ART ;1;other;13.9;9%;1.251;15.151;19.83870968
15.09.2022;17;OSR +ART ;2;other;10;9%;0.9;10.9;31.13333333
15.09.2022;17;OSR +ART ;3;other;14.8;9%;1.332;16.132;8.65
15.09.2022;17;OSR +SFB;1;other;9.3;9%;0.8649;10.1649;14.34482759
15.09.2022;17;OSR +SFB;2;other;12.6;9%;1.1718;13.7718;35.26666667
15.09.2022;17;OSR +SFB;3;other;8.8;9%;0.8184;9.6184;5.3
15.09.2022;17;OSR +WFB;1;other;11.4;9%;1.0602;12.4602;13.96666667
15.09.2022;17;OSR +WFB;2;other;23.2;9%;2.1576;25.3576;25.8
15.09.2022;17;OSR +WFB;3;other;12.4;9%;1.1532;13.5532;19.9
15.09.2022;17;OSR -ART ;1;other;7.8;9%;0.702;8.502;13.96666667
15.09.2022;17;OSR -ART ;2;other;4.5;9%;0.405;4.905;25.8
15.09.2022;17;OSR -ART ;3;other;9.1;9%;0.819;9.919;19.9
11.09.2023;20;OSR;1;other;18.1;9.30%;1.6833;19.7833;14.95
11.09.2023;20;OSR;2;other;29.4;9.30%;2.7342;32.1342;23.8
11.09.2023;20;OSR;4;other;9.2;9.30%;0.8556;10.0556;16.55
11.09.2023;20;OSR;3;other;12.4;9.30%;1.1532;13.5532;10.85
11.09.2023;20;OSR;5;other;15.6;9.30%;1.4508;17.0508;6.95
11.09.2023;20;OSR;6;other;6.2;9.30%;0.5766;6.7766;7.6
11.09.2023;20;OSR +ART ;1;other;15.1;9%;1.359;16.459;5.45
11.09.2023;20;OSR +ART ;2;other;21.1;9%;1.899;22.999;17.95
11.09.2023;20;OSR +ART ;3;other;15.7;9%;1.413;17.113;13
11.09.2023;20;OSR +ART ;4;other;13.2;9%;1.188;14.388;8.1
11.09.2023;20;OSR +ART ;5;other;15.8;9%;1.422;17.222;7.7
11.09.2023;20;OSR +ART ;6;other;9.7;9%;0.873;10.573;4.25
11.09.2023;20;OSR +SFB;1;other;15.3;9.30%;1.4229;16.7229;3.4
11.09.2023;20;OSR +SFB;2;other;20.6;9.30%;1.9158;22.5158;11.6
11.09.2023;20;OSR +SFB;4;other;15.4;9.30%;1.4322;16.8322;22
11.09.2023;20;OSR +SFB;3;other;26.9;9.30%;2.5017;29.4017;5
11.09.2023;20;OSR +SFB;5;other;11.2;9.30%;1.0416;12.2416;4.2
11.09.2023;20;OSR +SFB;6;other;26.3;9.30%;2.4459;28.7459;5.9
11.09.2023;20;OSR +WFB;1;other;25.5;9.30%;2.3715;27.8715;9.7
11.09.2023;20;OSR +WFB;2;other;17.7;9.30%;1.6461;19.3461;7.8
11.09.2023;20;OSR +WFB;3;other;19.1;9.30%;1.7763;20.8763;4.9
11.09.2023;20;OSR +WFB;4;other;17.8;9.30%;1.6554;19.4554;8.95
11.09.2023;20;OSR +WFB;5;other;13.3;9.30%;1.2369;14.5369;3.7
11.09.2023;20;OSR +WFB;6;other;19.5;9.30%;1.8135;21.3135;4.8
11.09.2023;20;OSR -ART ;1;other;9.5;9%;0.855;10.355;5.45
11.09.2023;20;OSR -ART ;2;other;14.5;9%;1.305;15.805;17.95
11.09.2023;20;OSR -ART ;3;other;10.9;9%;0.981;11.881;13
11.09.2023;20;OSR -ART ;4;other;9.4;9%;0.846;10.246;8.1
11.09.2023;20;OSR -ART ;5;other;9.1;9%;0.819;9.919;7.7
11.09.2023;20;OSR -ART ;6;other;5.1;9%;0.459;5.559;4.25
15.09.2022;53;OSR;1;other;25.6;9%;2.304;27.904;4.066666667
15.09.2022;53;OSR;2;other;14.1;9%;1.269;15.369;5.166666667
15.09.2022;53;OSR;3;other;15.5;9%;1.395;16.895;4.1
15.09.2022;53;OSR +ART ;2;other;20.1;9%;1.809;21.909;3.033333333
15.09.2022;53;OSR +ART ;3;other;12.2;9%;1.098;13.298;6
15.09.2022;53;OSR +ART ;1;other;34.4;9%;3.096;37.496;4.9
15.09.2022;53;OSR +WFB;1;other;43.9;9%;3.951;47.851;4.533333333
15.09.2022;53;OSR +WFB;2;other;16.1;9%;1.449;17.549;4.533333333
15.09.2022;53;OSR +WFB;3;other;23.4;9%;2.106;25.506;4.933333333
15.09.2022;53;OSR -ART ;2;other;16.5;9%;1.485;17.985;4.933333333
15.09.2022;53;OSR -ART ;3;other;7.7;9%;0.693;8.393;4.8
15.09.2022;53;OSR -ART ;1;other;28.1;9%;2.529;30.629;4.8
