date;parcelle;plot;modalite;nb_grosse_altise;nb_charancon_bourgeon;nb_charancon_tige;nb_meligethe;prop_altises
2022-09-15;2022- P2;1;OSR + ART;7;;0;0;31.81818182
2022-09-15;2022- P2;1;OSR + SFB;1;;0;0;4.545454545
2022-09-15;2022- P2;1;OSR;2;;0;0;9.090909091
2022-09-15;2022- P2;2;OSR + SFB;1;;0;0;4.545454545
2022-09-15;2022- P2;2;OSR + ART;0;;0;0;0
2022-09-15;2022- P2;1;OSR + WFB;0;;0;0;0
2022-09-15;2022- P2;2;OSR;4;;0;0;18.18181818
2022-09-15;2022- P2;2;OSR + WFB;0;;0;0;0
2022-09-15;2022- P2;3;OSR + ART;2;;0;0;9.090909091
2022-09-15;2022- P2;3;OSR + WFB;4;;0;0;18.18181818
2022-09-15;2022- P2;3;OSR;0;;0;0;0
2022-09-15;2022- P2;3;OSR + SFB;1;;0;0;4.545454545
2022-09-15;2022- P1;1;OSR;1;;0;0;20
2022-09-15;2022- P1;1;OSR + WFB;0;;0;0;0
2022-09-15;2022- P1;1;OSR + ART;0;;0;0;0
2022-09-15;2022- P1;2;OSR;1;;0;0;20
2022-09-15;2022- P1;2;OSR + ART;0;;0;0;0
2022-09-15;2022- P1;2;OSR + WFB;0;;0;0;0
2022-09-15;2022- P1;3;OSR + ART;1;;0;0;20
2022-09-15;2022- P1;3;OSR;2;;0;0;40
2022-09-15;2022- P1;3;OSR + WFB;0;;0;0;0
2022-09-22;2022- P2;1;OSR + ART;4;;0;0;10.52631579
2022-09-22;2022- P2;1;OSR + SFB;3;;0;0;7.894736842
2022-09-22;2022- P2;1;OSR;1;;0;0;2.631578947
2022-09-22;2022- P2;2;OSR + SFB;7;;0;0;18.42105263
2022-09-22;2022- P2;2;OSR + ART;4;;0;0;10.52631579
2022-09-22;2022- P2;1;OSR + WFB;4;;0;0;10.52631579
2022-09-22;2022- P2;2;OSR;3;;0;0;7.894736842
2022-09-22;2022- P2;2;OSR + WFB;5;;0;0;13.15789474
2022-09-22;2022- P2;3;OSR + ART;3;;0;0;7.894736842
2022-09-22;2022- P2;3;OSR + WFB;1;;0;0;2.631578947
2022-09-22;2022- P2;3;OSR;0;;0;0;0
2022-09-22;2022- P2;3;OSR + SFB;3;;0;0;7.894736842
2022-09-22;2022- P1;3;OSR + WFB;1;;0;0;3.703703704
2022-09-22;2022- P1;1;OSR;5;;0;0;18.51851852
2022-09-22;2022- P1;1;OSR + WFB;0;;0;0;0
2022-09-22;2022- P1;1;OSR + ART;1;;0;0;3.703703704
2022-09-22;2022- P1;2;OSR;4;;0;0;14.81481481
2022-09-22;2022- P1;2;OSR + ART;2;;0;0;7.407407407
2022-09-22;2022- P1;2;OSR + WFB;4;;0;0;14.81481481
2022-09-22;2022- P1;3;OSR + ART;7;;0;0;25.92592593
2022-09-22;2022- P1;3;OSR;3;;0;0;11.11111111
2022-09-29;2022- P2;1;OSR + ART;18;;0;0;12.08053691
2022-09-29;2022- P2;1;OSR + SFB;15;;0;0;10.06711409
2022-09-29;2022- P2;1;OSR;20;;0;0;13.42281879
2022-09-29;2022- P2;2;OSR + SFB;6;;0;0;4.026845638
2022-09-29;2022- P2;2;OSR + ART;21;;0;0;14.09395973
2022-09-29;2022- P2;1;OSR + WFB;10;;0;0;6.711409396
2022-09-29;2022- P2;2;OSR;15;;0;0;10.06711409
2022-09-29;2022- P2;2;OSR + WFB;17;;0;0;11.40939597
2022-09-29;2022- P2;3;OSR + ART;15;;0;0;10.06711409
2022-09-29;2022- P2;3;OSR + WFB;3;;0;0;2.013422819
2022-09-29;2022- P2;3;OSR;7;;0;0;4.697986577
2022-09-29;2022- P2;3;OSR + SFB;2;;0;0;1.342281879
2022-09-29;2022- P1;1;OSR;2;;0;0;4
2022-09-29;2022- P1;1;OSR + WFB;5;;0;0;10
2022-09-29;2022- P1;1;OSR + ART;1;;0;0;2
2022-09-29;2022- P1;2;OSR;4;;0;0;8
2022-09-29;2022- P1;2;OSR + ART;9;;0;0;18
2022-09-29;2022- P1;2;OSR + WFB;12;;0;0;24
2022-09-29;2022- P1;3;OSR + ART;5;;0;0;10
2022-09-29;2022- P1;3;OSR;5;;0;0;10
2022-09-29;2022- P1;3;OSR + WFB;7;;0;0;14
2022-10-10;2022- P2;1;OSR + ART;12;;0;0;9.022556391
2022-10-10;2022- P2;1;OSR + SFB;19;;0;0;14.28571429
2022-10-10;2022- P2;1;OSR;21;;0;0;15.78947368
2022-10-10;2022- P2;2;OSR + SFB;4;;0;0;3.007518797
2022-10-10;2022- P2;2;OSR + ART;11;;0;0;8.270676692
2022-10-10;2022- P2;1;OSR + WFB;6;;0;0;4.511278195
2022-10-10;2022- P2;2;OSR;15;;0;0;11.27819549
2022-10-10;2022- P2;2;OSR + WFB;8;;0;0;6.015037594
2022-10-10;2022- P2;3;OSR + ART;21;;0;0;15.78947368
2022-10-10;2022- P2;3;OSR + WFB;2;;0;0;1.503759398
2022-10-10;2022- P2;3;OSR;13;;0;0;9.77443609
2022-10-10;2022- P2;3;OSR + SFB;1;;0;0;0.751879699
2022-10-10;2022- P1;3;OSR + WFB;5;;0;0;13.15789474
2022-10-10;2022- P1;1;OSR;1;;0;0;2.631578947
2022-10-10;2022- P1;1;OSR + WFB;8;;0;0;21.05263158
2022-10-10;2022- P1;1;OSR + ART;4;;0;0;10.52631579
2022-10-10;2022- P1;2;OSR;5;;0;0;13.15789474
2022-10-10;2022- P1;2;OSR + ART;7;;0;0;18.42105263
2022-10-10;2022- P1;2;OSR + WFB;6;;0;0;15.78947368
2022-10-10;2022- P1;3;OSR + ART;2;;0;0;5.263157895
2022-10-10;2022- P1;3;OSR;0;;0;0;0
2022-10-20;2022- P2;1;OSR + ART;6;;0;0;14.63414634
2022-10-20;2022- P2;1;OSR + SFB;1;;0;0;2.43902439
2022-10-20;2022- P2;1;OSR;2;;0;0;4.87804878
2022-10-20;2022- P2;2;OSR + SFB;1;;0;0;2.43902439
2022-10-20;2022- P2;2;OSR + ART;3;;0;0;7.317073171
2022-10-20;2022- P2;1;OSR + WFB;1;;0;0;2.43902439
2022-10-20;2022- P2;2;OSR;6;;0;0;14.63414634
2022-10-20;2022- P2;2;OSR + WFB;5;;0;0;12.19512195
2022-10-20;2022- P2;3;OSR + ART;4;;0;0;9.756097561
2022-10-20;2022- P2;3;OSR + WFB;3;;0;0;7.317073171
2022-10-20;2022- P2;3;OSR;8;;0;0;19.51219512
2022-10-20;2022- P2;3;OSR + SFB;1;;0;0;2.43902439
2022-10-20;2022- P1;1;OSR;2;;0;0;8.695652174
2022-10-20;2022- P1;1;OSR + WFB;4;;0;0;17.39130435
2022-10-20;2022- P1;1;OSR + ART;0;;0;0;0
2022-10-20;2022- P1;2;OSR;7;;0;0;30.43478261
2022-10-20;2022- P1;2;OSR + ART;4;;0;0;17.39130435
2022-10-20;2022- P1;2;OSR + WFB;2;;0;0;8.695652174
2022-10-20;2022- P1;3;OSR + ART;2;;0;0;8.695652174
2022-10-20;2022- P1;3;OSR;0;;0;0;0
2022-10-20;2022- P1;3;OSR + WFB;2;;0;0;8.695652174
2023-02-16;2022- P2;1;OSR + ART;0;0;0;0;
2023-02-16;2022- P2;1;OSR + SFB;0;0;0;0;
2023-02-16;2022- P2;1;OSR;2;0;0;0;
2023-02-16;2022- P2;2;OSR + SFB;0;0;0;0;
2023-02-16;2022- P2;2;OSR + ART;0;0;0;0;
2023-02-16;2022- P2;1;OSR + WFB;2;0;0;0;
2023-02-16;2022- P2;2;OSR;0;0;0;0;
2023-02-16;2022- P2;2;OSR + WFB;0;0;0;0;
2023-02-16;2022- P2;3;OSR + ART;1;0;0;0;
2023-02-16;2022- P2;3;OSR + WFB;0;0;0;0;
2023-02-16;2022- P2;3;OSR;1;0;0;0;
2023-02-16;2022- P2;3;OSR + SFB;0;0;0;0;
2023-02-16;2022- P1;1;OSR;1;0;0;0;
2023-02-16;2022- P1;1;OSR + WFB;0;0;0;0;
2023-02-16;2022- P1;1;OSR + ART;0;0;0;0;
2023-02-16;2022- P1;2;OSR;0;0;0;0;
2023-02-16;2022- P1;2;OSR + ART;1;0;0;0;
2023-02-16;2022- P1;2;OSR + WFB;0;0;0;0;
2023-02-16;2022- P1;3;OSR + ART;0;0;0;0;
2023-02-16;2022- P1;3;OSR;1;0;0;0;
2023-02-16;2022- P1;3;OSR + WFB;0;0;0;0;
2023-02-23;2022- P2;1;OSR + ART;2;0;1;0;
2023-02-23;2022- P2;1;OSR + SFB;0;0;0;0;
2023-02-23;2022- P2;1;OSR;6;0;1;1;
2023-02-23;2022- P2;2;OSR + SFB;1;0;0;1;
2023-02-23;2022- P2;2;OSR + ART;1;0;4;0;
2023-02-23;2022- P2;1;OSR + WFB;2;0;1;1;
2023-02-23;2022- P2;2;OSR;0;0;0;0;
2023-02-23;2022- P2;2;OSR + WFB;1;0;0;0;
2023-02-23;2022- P2;3;OSR + ART;1;0;3;0;
2023-02-23;2022- P2;3;OSR + WFB;2;0;0;1;
2023-02-23;2022- P2;3;OSR;0;0;1;1;
2023-02-23;2022- P2;3;OSR + SFB;1;0;0;1;
2023-02-23;2022- P1;1;OSR;0;0;0;3;
2023-02-23;2022- P1;1;OSR + WFB;1;0;1;0;
2023-02-23;2022- P1;1;OSR + ART;0;0;0;1;
2023-02-23;2022- P1;2;OSR;2;0;1;2;
2023-02-23;2022- P1;2;OSR + ART;1;0;0;3;
2023-02-23;2022- P1;2;OSR + WFB;0;0;0;0;
2023-02-23;2022- P1;3;OSR + ART;2;0;0;1;
2023-02-23;2022- P1;3;OSR;1;0;1;0;
2023-02-23;2022- P1;3;OSR + WFB;1;0;0;0;
2023-03-02;2022- P2;1;OSR + ART;1;0;0;0;
2023-03-02;2022- P2;1;OSR + SFB;1;0;0;0;
2023-03-02;2022- P2;1;OSR;0;0;0;0;
2023-03-02;2022- P2;2;OSR + SFB;3;0;1;0;
2023-03-02;2022- P2;2;OSR + ART;1;0;1;0;
2023-03-02;2022- P2;1;OSR + WFB;1;0;0;0;
2023-03-02;2022- P2;2;OSR;0;0;0;0;
2023-03-02;2022- P2;2;OSR + WFB;0;0;0;0;
2023-03-02;2022- P2;3;OSR + ART;0;0;0;1;
2023-03-02;2022- P2;3;OSR + WFB;0;0;0;0;
2023-03-02;2022- P2;3;OSR;0;0;0;0;
2023-03-02;2022- P2;3;OSR + SFB;0;0;1;0;
2023-03-02;2022- P1;1;OSR;1;0;0;2;
2023-03-02;2022- P1;1;OSR + WFB;0;0;0;0;
2023-03-02;2022- P1;1;OSR + ART;0;0;0;2;
2023-03-02;2022- P1;2;OSR;0;0;0;1;
2023-03-02;2022- P1;2;OSR + ART;2;0;0;0;
2023-03-02;2022- P1;2;OSR + WFB;1;0;0;0;
2023-03-02;2022- P1;3;OSR + ART;3;0;0;1;
2023-03-02;2022- P1;3;OSR;na;na;na;na;
2023-03-02;2022- P1;3;OSR + WFB;0;0;0;1;
2023-03-09;2022- P2;1;OSR + ART;1;0;0;1;
2023-03-09;2022- P2;1;OSR + SFB;0;0;0;0;
2023-03-09;2022- P2;1;OSR;1;0;2;0;
2023-03-09;2022- P2;2;OSR + SFB;0;0;1;0;
2023-03-09;2022- P2;2;OSR + ART;4;0;1;0;
2023-03-09;2022- P2;1;OSR + WFB;0;0;0;0;
2023-03-09;2022- P2;2;OSR;3;0;0;0;
2023-03-09;2022- P2;2;OSR + WFB;2;0;1;0;
2023-03-09;2022- P2;3;OSR + ART;1;0;3;0;
2023-03-09;2022- P2;3;OSR + WFB;0;0;0;0;
2023-03-09;2022- P2;3;OSR;0;0;0;0;
2023-03-09;2022- P2;3;OSR + SFB;0;0;0;0;
2023-03-09;2022- P1;1;OSR;0;0;0;0;
2023-03-09;2022- P1;1;OSR + WFB;0;0;0;1;
2023-03-09;2022- P1;1;OSR + ART;0;0;0;1;
2023-03-09;2022- P1;2;OSR;1;0;0;2;
2023-03-09;2022- P1;2;OSR + ART;2;0;0;1;
2023-03-09;2022- P1;2;OSR + WFB;0;0;0;0;
2023-03-09;2022- P1;3;OSR + ART;0;0;1;0;
2023-03-09;2022- P1;3;OSR;0;0;0;0;
2023-03-09;2022- P1;3;OSR + WFB;0;0;0;0;
2023-03-15;2022- P2;1;OSR + ART;3;0;3;0;
2023-03-15;2022- P2;1;OSR + SFB;2;0;1;0;
2023-03-15;2022- P2;1;OSR;3;0;0;2;
2023-03-15;2022- P2;2;OSR + SFB;0;0;1;0;
2023-03-15;2022- P2;2;OSR + ART;7;0;1;4;
2023-03-15;2022- P2;1;OSR + WFB;0;0;1;2;
2023-03-15;2022- P2;2;OSR;3;0;1;4;
2023-03-15;2022- P2;2;OSR + WFB;2;0;0;2;
2023-03-15;2022- P2;3;OSR + ART;4;0;0;1;
2023-03-15;2022- P2;3;OSR + WFB;0;0;0;0;
2023-03-15;2022- P2;3;OSR;2;0;1;0;
2023-03-15;2022- P2;3;OSR + SFB;0;0;0;0;
2023-03-15;2022- P1;1;OSR;0;0;1;15;
2023-03-15;2022- P1;1;OSR + WFB;1;0;1;6;
2023-03-15;2022- P1;1;OSR + ART;1;0;1;7;
2023-03-15;2022- P1;2;OSR;0;0;0;0;
2023-03-15;2022- P1;2;OSR + ART;0;0;1;14;
2023-03-15;2022- P1;2;OSR + WFB;0;0;0;10;
2023-03-15;2022- P1;3;OSR + ART;0;0;0;0;
2023-03-15;2022- P1;3;OSR;0;0;1;25;
2023-03-15;2022- P1;3;OSR + WFB;0;0;1;0;
2023-03-23;2022- P2;1;OSR + ART;0;0;0;0;
2023-03-23;2022- P2;1;OSR + SFB;0;0;0;1;
2023-03-23;2022- P2;1;OSR;1;0;5;20;
2023-03-23;2022- P2;2;OSR + SFB;0;0;1;4;
2023-03-23;2022- P2;2;OSR + ART;1;0;2;3;
2023-03-23;2022- P2;1;OSR + WFB;0;0;0;0;
2023-03-23;2022- P2;2;OSR;0;0;3;0;
2023-03-23;2022- P2;2;OSR + WFB;0;0;0;0;
2023-03-23;2022- P2;3;OSR + ART;0;0;2;0;
2023-09-21;2023- P3;1;OSR + ART;0;0;0;0;0
2023-09-21;2023- P3;1;OSR + SFB;5;0;0;0;8.620689655
2023-09-21;2023- P3;1;OSR;5;0;0;0;8.620689655
2023-09-21;2023- P3;1;OSR + WFB;10;0;0;0;17.24137931
2023-09-21;2023- P3;2;OSR;2;0;0;0;3.448275862
2023-09-21;2023- P3;2;OSR + ART;2;0;0;0;3.448275862
2023-09-21;2023- P3;2;OSR + SFB;1;0;0;0;1.724137931
