date;date;parcelle;plot ;modality;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;Nb_larves;h_tige_f1;Elongation;piqure;pollen_beetle;Tortuotype;Tige_A;Tige_B;Tige_C;Tige_eclate;Buissonnante;nb_ramification
44866;2022-11-01;2022- P1;1;OSR;1;7;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;2;3;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;3;4;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;4;9;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;5;8;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;6;6;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;7;6;;na;na;;;;na;;na;na;;na;na;na;na;;
44866;2022-11-01;2022- P1;1;OSR;8;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR;10;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;1;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;2;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;3;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;4;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;5;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;6;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;7;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;8;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;9;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + WFB;10;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;1;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;2;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;3;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;4;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;5;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;6;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;7;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;8;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;9;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;1;OSR + ART;10;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;1;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;2;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;3;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;4;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;5;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;6;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;7;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;8;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR;10;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;1;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;2;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;3;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;4;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;5;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;6;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;7;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;8;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;9;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + ART;10;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;1;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;2;2;;na;na;;;;na;;na;na;;na;na;na;na;na;
