parcelle;bloc;modality;Parcelle m2;N recolte;N bocaux;Rdt brut parcelle kg;Pds echant entree trieur g;Pds echant sortie trieur g;H2O per;per grain propre;Rdt parcelle;RDT
2022- P2;1;OSR+ ART;6.6;701;94259;1.792;697;680;9;97.56097561;1.748292683;25.64388042
2022- P2;2;OSR+ ART;6.6;702;94260;2.316;799;783;8.2;97.99749687;2.269622028;33.58338203
2022- P2;3;OSR+ ART;6.6;703;94261;1.616;856;835;8.2;97.54672897;1.57635514;23.32517761
2022- P2;1;OSR;6.6;704;94262;1.754;802;783;11.2;97.63092269;1.712446384;24.51083799
2022- P2;2;OSR;6.6;705;94263;1.177;673;653;9.2;97.0282318;1.142022288;16.71431718
2022- P2;3;OSR;6.6;706;94264;2.325;804;790;9.2;98.25870647;2.284514925;33.43551825
2022- P2;1;OSR+ SFB;6.6;707;94265;1.863;832;805;17.9;96.75480769;1.802542067;23.85375624
2022- P2;2;OSR+ SFB;6.6;708;94266;2.365;803;792;8.8;98.63013699;2.33260274;34.28971145
2022- P2;3;OSR+ SFB;6.6;709;94267;1.551;806;783;10.3;97.14640199;1.506740695;21.78508065
2022- P2;1;OSR+ WFB;6.6;710;94268;2.104;800;781;9.2;97.625;2.05403;30.06220567
2022- P2;2;OSR+ WFB;6.6;711;94269;2.023;802;785;11.4;97.88029925;1.980118454;28.2782874
2022- P2;3;OSR+ WFB;6.6;712;94270;2.273;810;792;13.4;97.77777778;2.222488889;31.02313633
2022- P1;1;OSR;6.6;721;94271;1.806;809;736;9;90.97651422;1.643035847;24.09997776
2022- P1;2;OSR;6.6;722;94272;1.644;802;722;10;90.02493766;1.480009975;21.47016405
2022- P1;3;OSR;6.6;723;94273;0.985;526;493;6.3;93.72623574;0.923203422;13.94328831
2022- P1;1;OSR+ ART;6.6;724;94274;2.159;822;802;2.4;97.56690998;2.106469586;33.13852863
2022- P1;2;OSR+ ART;6.6;725;94275;1.614;829;796;4;96.01930036;1.549751508;23.98068097
2022- P1;3;OSR+ ART;6.6;726;94276;0.983;722;644;10.8;89.1966759;0.876803324;12.60652104
2022- P1;1;OSR+ WFB;6.6;727;94277;1.991;805;776;3.6;96.39751553;1.919274534;29.82238315
2022- P1;2;OSR+ WFB;6.6;728;94278;1.589;815;736;9.7;90.30674847;1.434974233;20.88623038
2022- P1;3;OSR+ WFB;6.6;729;94279;1.658;810;770;4.9;95.0617284;1.576123457;24.16011295
2023- P3;1;OSR;6.6;801;94305;2.965;839;822;9.5;98;2.9;42.38
2023- P3;2;OSR;6.6;802;94306;3.249;839;822;9.3;98;3.18;46.54
2023- P3;3;OSR;6.6;803;94307;3.276;858;840;9.7;97.9;3.21;46.68
2023- P3;4;OSR;6.6;804;94308;3.003;821;802;9.4;97.7;2.93;42.84
2023- P3;5;OSR;6.6;805;94309;3.091;820;800;9.7;97.6;3.02;43.89
2023- P3;6;OSR;6.6;806;94310;2.705;841;818;9.4;97.3;2.63;38.42
2023- P3;1;OSR+ SFB;6.6;807;94311;3.535;836;823;9.4;98.4;3.48;50.82
2023- P3;2;OSR+ ART;6.6;808;94312;2.88;821;804;9.6;97.9;2.82;41.1
2023- P3;3;OSR+ ART;6.6;809;94313;3.08;818;807;9.5;98.7;3.04;44.32
2023- P3;4;OSR+ ART;6.6;810;94314;3.183;841;824;10;98;3.12;45.24
2023- P3;5;OSR+ ART;6.6;811;94315;3.089;820;805;9.6;98.2;3.03;44.19
2023- P3;6;OSR+ ART;6.6;812;94316;2.885;813;803;9.6;98.8;2.85;41.52
2023- P3;1;OSR+ ART;6.6;813;94317;2.416;814;803;9.8;98.6;2.38;34.65
2023- P3;2;OSR+ SFB;6.6;814;94318;4.083;804;790;9.6;98.3;4.01;58.46
2023- P3;3;OSR+ SFB;6.6;815;94319;3.564;838;820;9.7;97.9;3.49;50.76
2023- P3;4;OSR+ SFB;6.6;816;94320;3.1;817;801;9.6;98;3.04;44.29
2023- P3;5;OSR+ SFB;6.6;817;94321;3.401;811;795;9.5;98;3.33;48.63
2023- P3;6;OSR+ SFB;6.6;818;94322;3.903;827;820;9.3;99.2;3.87;56.58
2023- P3;1;OSR+ WFB;6.6;819;94323;2.974;823;810;9.7;98.4;2.93;42.6
2023- P3;2;OSR+ WFB;6.6;820;94324;3.008;838;825;9.9;98.4;2.96;43.01
2023- P3;3;OSR+ WFB;6.6;821;94325;3.879;825;812;9.5;98.4;3.82;55.69
2023- P3;4;OSR+ WFB;6.6;822;94326;3.478;831;808;10.1;97.2;3.38;49
2023- P3;5;OSR+ WFB;6.6;823;94327;2.281;805;785;10.1;97.5;2.22;32.23
2023- P3;6;OSR+ WFB;6.6;824;94328;2.897;800;779;9.8;97.4;2.82;41.01
